Offset: 0x0006ABD8 | Value: 0x00007FFD6B5ABAB0
Offset: 0x0006ABE8 | Value: 0x00007FFD6B5ABAC0
Offset: 0x0006ABF8 | Value: 0x00007FFD6B5ABAD0
Offset: 0x0006AC08 | Value: 0x00007FFD6B5ABAE0
Offset: 0x0006AC18 | Value: 0x00007FFD6B5ABAF0
Offset: 0x0006AC28 | Value: 0x00007FFD6B5ABB00
Offset: 0x0006AC38 | Value: 0x00007FFD6B5ABB10
Offset: 0x0006AC48 | Value: 0x00007FFD6B5ABB20
Offset: 0x0006AC58 | Value: 0x00007FFD6B5ABB30
Offset: 0x0006AC68 | Value: 0x00007FFD6B5ABB40
Offset: 0x0006AC78 | Value: 0x00007FFD6B5ABB60
Offset: 0x0006AC88 | Value: 0x00007FFD6B5ABB70
Offset: 0x0006AC98 | Value: 0x00007FFD6B5ABB80
Offset: 0x0006ACA8 | Value: 0x00007FFD6B5ABB90
Offset: 0x0006ACB8 | Value: 0x00007FFD6B5ABBA0
Offset: 0x0006ACC8 | Value: 0x00007FFD6B5ABBB0
Offset: 0x0006ACD8 | Value: 0x00007FFD6B5ABBC0
Offset: 0x0006ACE8 | Value: 0x00007FFD6B5ABBD0
Offset: 0x0006ACF8 | Value: 0x00007FFD6B5ABBE0
Offset: 0x0006AD08 | Value: 0x00007FFD6B5ABBF0
Offset: 0x0006AD18 | Value: 0x00007FFD6B5ABC00
Offset: 0x0006AD28 | Value: 0x00007FFD6B5ABC10
